"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+7.76940000000E+009, +6.58671778718E+000, +0.00000000000E+000
+7.76960000000E+009, +6.64509126587E+000, +0.00000000000E+000
+7.76980000000E+009, +6.71540541816E+000, +0.00000000000E+000
+7.77000000000E+009, +7.05050691962E+000, +0.00000000000E+000
+7.77020000000E+009, +6.98197486660E+000, +0.00000000000E+000
+7.77040000000E+009, +7.13828203752E+000, +0.00000000000E+000
+7.77060000000E+009, +7.08895282510E+000, +0.00000000000E+000
+7.77080000000E+009, +6.99744365847E+000, +0.00000000000E+000
+7.77100000000E+009, +7.60359527816E+000, +0.00000000000E+000
+7.77120000000E+009, +7.61046886605E+000, +0.00000000000E+000
+7.77140000000E+009, +7.47843836857E+000, +0.00000000000E+000
+7.77160000000E+009, +8.00038554636E+000, +0.00000000000E+000
+7.77180000000E+009, +7.92028668925E+000, +0.00000000000E+000
+7.77200000000E+009, +7.76854364533E+000, +0.00000000000E+000
+7.77220000000E+009, +8.10192230455E+000, +0.00000000000E+000
